run_id,config_hash,source_hash,dataset,task,model,model_family,seed,split,num_threads,run_dir,job_config
atlas_het__node_classification__graphatlas_c_oracle__split0__seed0__3e8c104a2f8a,3e8c104a2f8a,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-3e8c104a,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-0\config-3e8c104a\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed1__d6b1f07770a1,d6b1f07770a1,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-d6b1f077,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-1\config-d6b1f077\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed2__df427a42e6d9,df427a42e6d9,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-df427a42,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-2\config-df427a42\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed3__ab5e6748c734,ab5e6748c734,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-3\config-ab5e6748,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-3\config-ab5e6748\job_config.yaml
atlas_het__node_classification__graphatlas_c_oracle__split0__seed4__f9e5a3d2c522,f9e5a3d2c522,0e672c999c335af7,atlas_het,node_classification,graphatlas_c_oracle,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-4\config-f9e5a3d2,outputs\.work\runs\atlas_het\graphatlas_c_oracle\split-0\seed-4\config-f9e5a3d2\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed0__6c7f9764a489,6c7f9764a489,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,0,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-6c7f9764,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-0\config-6c7f9764\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed1__47795aa10ffd,47795aa10ffd,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,1,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-47795aa1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-1\config-47795aa1\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed2__5e244ed0e588,5e244ed0e588,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,2,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-5e244ed0,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-2\config-5e244ed0\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed3__2cc31f71fc65,2cc31f71fc65,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,3,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-2cc31f71,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-3\config-2cc31f71\job_config.yaml
atlas_het__node_classification__graphatlas_c__split0__seed4__50f25287f020,50f25287f020,0e672c999c335af7,atlas_het,node_classification,graphatlas_c,graphatlas_certified,4,0,1,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-50f25287,outputs\.work\runs\atlas_het\graphatlas_c\split-0\seed-4\config-50f25287\job_config.yaml
